               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10243,            0.028474,            0.043433,           0.0014189,              0.2663,           0.0024216,          0.00060174,            0.062209,            0.017513,            0.025831,              0.0802,              0.0022,              0.0022
                   1,            0.086668,            0.025587,            0.027023,           0.0032387,             0.60326,            0.048731,            0.011204,            0.049578,            0.014678,            0.020447,            0.059411,           0.0044109,           0.0044109
                   2,             0.07905,            0.024376,             0.01152,             0.75901,             0.15217,            0.032544,           0.0086909,            0.046285,            0.012061,            0.023819,            0.038531,           0.0065307,           0.0065307
                   3,            0.081004,            0.023618,           0.0047556,             0.75466,             0.20652,            0.012648,           0.0041284,            0.047728,            0.011579,            0.028194,            0.017559,           0.0085595,           0.0085595
                   4,            0.075007,            0.025858,           0.0030887,             0.75236,             0.18478,            0.017426,           0.0047634,            0.045252,            0.011849,            0.026898,            0.009208,            0.009208,            0.009208
                   5,            0.072708,             0.02471,           0.0020402,             0.75097,             0.20652,            0.038339,           0.0083103,            0.049328,            0.011788,            0.031833,            0.009208,            0.009208,            0.009208
                   6,            0.073182,            0.022002,           0.0014506,             0.75731,            0.086957,           0.0074441,           0.0024629,            0.048161,            0.011581,            0.028331,             0.00901,             0.00901,             0.00901
                   7,            0.071181,            0.023625,           0.0011929,           0.0062087,             0.15217,           0.0062943,           0.0015815,            0.044561,            0.013023,             0.03155,            0.008812,            0.008812,            0.008812
                   8,            0.071283,            0.022155,             0.00116,             0.51246,             0.15217,            0.015763,           0.0043289,            0.043017,            0.012204,            0.033197,            0.008614,            0.008614,            0.008614
                   9,            0.071441,            0.024841,           0.0010455,             0.75225,            0.076087,           0.0013754,          0.00021085,            0.062932,            0.010795,            0.031394,            0.008416,            0.008416,            0.008416
                  10,            0.069209,            0.025357,          0.00086636,            0.010765,             0.13043,            0.019496,           0.0071627,            0.045638,            0.011191,            0.033349,            0.008218,            0.008218,            0.008218
                  11,            0.065314,            0.025078,          0.00075102,             0.27632,             0.19565,            0.044583,            0.014895,            0.033519,            0.012071,            0.034033,             0.00802,             0.00802,             0.00802
                  12,            0.067359,            0.023195,          0.00074904,             0.77345,             0.16304,            0.029709,            0.011135,            0.034256,            0.012316,            0.033306,            0.007822,            0.007822,            0.007822
                  13,            0.066641,             0.02292,          0.00066235,             0.53443,            0.086957,            0.057637,            0.018345,            0.037015,            0.011864,            0.033761,            0.007624,            0.007624,            0.007624
                  14,            0.066878,            0.023789,          0.00065953,             0.78832,            0.076087,            0.030957,           0.0086934,            0.038194,            0.011731,             0.03255,            0.007426,            0.007426,            0.007426
                  15,            0.063303,            0.023759,          0.00063525,            0.051784,             0.36232,             0.10012,            0.014164,             0.04106,            0.011251,            0.031759,            0.007228,            0.007228,            0.007228
                  16,            0.064161,            0.022859,          0.00063511,             0.79874,              0.1087,            0.070026,            0.017961,            0.034369,            0.011176,            0.034697,             0.00703,             0.00703,             0.00703
                  17,            0.060597,              0.0233,          0.00066505,             0.80599,             0.12552,            0.095575,            0.032617,            0.035392,            0.011218,            0.036089,            0.006832,            0.006832,            0.006832
                  18,            0.062357,            0.022547,          0.00058463,             0.79706,             0.13043,            0.090136,            0.040236,            0.033365,            0.011224,            0.037399,            0.006634,            0.006634,            0.006634
                  19,            0.060283,            0.022181,          0.00058509,             0.79368,              0.1087,            0.059097,            0.019075,            0.034835,            0.011289,            0.036739,            0.006436,            0.006436,            0.006436
                  20,            0.060641,            0.023882,          0.00057583,             0.80207,            0.043478,             0.04764,            0.018503,            0.034068,            0.011307,            0.037043,            0.006238,            0.006238,            0.006238
                  21,            0.058342,            0.023978,          0.00050042,             0.80084,            0.065217,            0.047994,            0.012953,            0.033857,            0.011536,            0.037569,             0.00604,             0.00604,             0.00604
                  22,            0.059439,            0.024666,          0.00041794,             0.80361,            0.086957,            0.044042,           0.0096295,            0.039645,            0.011233,            0.038069,            0.005842,            0.005842,            0.005842
                  23,            0.057488,            0.022497,          0.00038918,             0.80713,            0.086957,             0.06346,            0.018772,            0.035164,            0.011591,            0.038033,            0.005644,            0.005644,            0.005644
                  24,            0.061205,             0.02354,          0.00038845,             0.81068,            0.054348,             0.10544,            0.019192,            0.033793,            0.011514,            0.038635,            0.005446,            0.005446,            0.005446
                  25,            0.056746,             0.02442,          0.00071404,             0.83816,            0.077009,             0.12455,            0.027711,            0.034702,            0.011049,            0.039519,            0.005248,            0.005248,            0.005248
